[2025-07-24T03:37:20.195+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.load_all_to_mongo manual__2025-07-24T03:36:52.564661+00:00 [queued]>
[2025-07-24T03:37:20.226+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.load_all_to_mongo manual__2025-07-24T03:36:52.564661+00:00 [queued]>
[2025-07-24T03:37:20.229+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-07-24T03:37:20.261+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_all_to_mongo> on 2025-07-24 03:36:52.564661+00:00
[2025-07-24T03:37:20.276+0000] {standard_task_runner.py:60} INFO - Started process 2628 to run task
[2025-07-24T03:37:20.281+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'TechAndUrbanGrowth', 'load_all_to_mongo', 'manual__2025-07-24T03:36:52.564661+00:00', '--job-id', '155', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmppp381ft8']
[2025-07-24T03:37:20.285+0000] {standard_task_runner.py:88} INFO - Job 155: Subtask load_all_to_mongo
[2025-07-24T03:37:20.381+0000] {task_command.py:423} INFO - Running <TaskInstance: TechAndUrbanGrowth.load_all_to_mongo manual__2025-07-24T03:36:52.564661+00:00 [running]> on host 4c8899e5e1ad
[2025-07-24T03:37:20.517+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='TechAndUrbanGrowth' AIRFLOW_CTX_TASK_ID='load_all_to_mongo' AIRFLOW_CTX_EXECUTION_DATE='2025-07-24T03:36:52.564661+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-24T03:36:52.564661+00:00'
[2025-07-24T03:37:20.520+0000] {load_mongo.py:13} INFO - 📦 Conectando a MongoDB...
[2025-07-24T03:37:20.678+0000] {load_mongo.py:21} INFO - Datos urbanización recibidos: tipo=<class 'list'>, cantidad=2275
[2025-07-24T03:37:20.680+0000] {load_mongo.py:22} INFO - Datos calidad aire recibidos: tipo=<class 'list'>, cantidad=35
[2025-07-24T03:37:20.681+0000] {load_mongo.py:23} INFO - Datos población recibidos: tipo=<class 'list'>, cantidad=2275
[2025-07-24T03:37:20.684+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2024, 'urban_population_percent': 92.579, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770484'}: 'year'
[2025-07-24T03:37:20.686+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2023, 'urban_population_percent': 92.463, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770520'}: 'year'
[2025-07-24T03:37:20.687+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2022, 'urban_population_percent': 92.347, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770524'}: 'year'
[2025-07-24T03:37:20.688+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2021, 'urban_population_percent': 92.229, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770528'}: 'year'
[2025-07-24T03:37:20.690+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2020, 'urban_population_percent': 92.111, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770533'}: 'year'
[2025-07-24T03:37:20.691+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2019, 'urban_population_percent': 91.991, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770537'}: 'year'
[2025-07-24T03:37:20.692+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2018, 'urban_population_percent': 91.87, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770540'}: 'year'
[2025-07-24T03:37:20.693+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2017, 'urban_population_percent': 91.749, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770545'}: 'year'
[2025-07-24T03:37:20.695+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2016, 'urban_population_percent': 91.627, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770549'}: 'year'
[2025-07-24T03:37:20.696+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2015, 'urban_population_percent': 91.503, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770553'}: 'year'
[2025-07-24T03:37:20.697+0000] {load_mongo.py:38} ERROR - Error cargando registro urbanización {'country': 'Argentina', 'country_code': 'AR', 'date': 2014, 'urban_population_percent': 91.377, 'quality': 'buena', 'transformed_at': '2025-07-24T03:37:17.770557'}: 'year'
